                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,F1 Score
142,0.54615,0.46591,1.0711,0.7265,0.71807,0.75722,0.60292,0.78365,0.80862,1.3058,0.007228,0.007228,0.007228,0.722260402749607
143,0.53921,0.47269,1.0672,0.76714,0.69821,0.75524,0.59957,0.78773,0.81237,1.3165,0.0072082,0.0072082,0.0072082,0.7310537679052788
144,0.55184,0.47708,1.0733,0.75417,0.71711,0.749,0.59691,0.77467,0.82032,1.2983,0.0071884,0.0071884,0.0071884,0.7351732487357946
145,0.5476,0.46756,1.0616,0.76019,0.70176,0.74937,0.59876,0.77868,0.80039,1.3087,0.0071686,0.0071686,0.0071686,0.7298073592120113
146,0.54602,0.46767,1.0645,0.73542,0.72405,0.74112,0.59155,0.77444,0.81688,1.2937,0.0071488,0.0071488,0.0071488,0.7296907110115315
147,0.54241,0.4627,1.0596,0.70851,0.73233,0.73954,0.59178,0.77577,0.81877,1.2978,0.007129,0.007129,0.007129,0.7202231036062297
148,0.53426,0.469,1.0592,0.75154,0.7049,0.74379,0.59737,0.77102,0.80038,1.3002,0.0071092,0.0071092,0.0071092,0.7274732168850073
149,0.52566,0.46609,1.0563,0.76883,0.69921,0.75198,0.60617,0.77402,0.78393,1.3124,0.0070894,0.0070894,0.0070894,0.7323691783602626
150,0.5366,0.46009,1.069,0.78083,0.67525,0.74632,0.59955,0.77694,0.7942,1.3161,0.0070696,0.0070696,0.0070696,0.7242122101807593
151,0.54387,0.47453,1.0652,0.72346,0.71921,0.74859,0.59985,0.7775,0.79327,1.3247,0.0070498,0.0070498,0.0070498,0.7213287399058689
152,0.53421,0.45447,1.0591,0.72186,0.6967,0.73954,0.59234,0.78397,0.82433,1.3268,0.00703,0.00703,0.00703,0.7090568773967968
153,0.53611,0.46104,1.0617,0.77674,0.68313,0.74566,0.59962,0.78414,0.81429,1.3191,0.0070102,0.0070102,0.0070102,0.7269337628692966
154,0.52876,0.46602,1.0527,0.74277,0.70596,0.74861,0.59823,0.79436,0.82083,1.3213,0.0069904,0.0069904,0.0069904,0.7238973572715413
155,0.51979,0.43444,1.0416,0.7681,0.68163,0.74067,0.59074,0.79439,0.83321,1.3208,0.0069706,0.0069706,0.0069706,0.72228622295186
156,0.52316,0.44109,1.0483,0.76514,0.68092,0.74531,0.59591,0.80167,0.83385,1.3157,0.0069508,0.0069508,0.0069508,0.7205774709209852
157,0.52632,0.45303,1.0569,0.74219,0.72645,0.74744,0.60341,0.79516,0.81302,1.3108,0.006931,0.006931,0.006931,0.7342356540745179
